店名,住所,営業時間,定休日,座席,緯度,経度
豚男 -BUTAMEN-,〒311-0105 茨城県那珂市菅谷2370-1,11:30～15:30／17:30～22:00（材料無くなり次第、終了）,水曜日（当面、水曜も営業）,カウンター12席，テーブル席,36.444649,140.500809
らーめん 大山 水戸店,〒300-0015 茨城県水戸市宮町1-7-31 エクセルみなみ4階,11:00～22:00（ラストオーダー21:30）,,27席,36.369995,140.476166
ラーメン ガッテン 神栖木崎店,〒314-0127 茨城県神栖市木崎2836,11:00〜14:30（L.O.）,月曜日、火曜日,カウンタ8、店内待ち椅子8,35.890221,140.657349
豚男爵,〒300-2633 茨城県つくば市遠東1371-1,11:00〜14:30／17:00〜22:00,月曜日,カウンター5席、テーブル4人掛×3卓,36.103577,140.067841
常勝軒 かすみがうら店,〒315-0052 茨城県かすみがうら市下稲吉2632-11,11:00〜15:00／18:00〜22:00※売り切れ次第終了,水曜日,24席,36.127316,140.230286
麺将軍 王騎,〒301-0004 茨城県龍ケ崎市馴馬町5405,11:00〜15:00  17:00～22:00（月～土）11:00～20:00（日、祝日）ただし連休の場合は最終日のみ通し営業,,カウンター6席、テーブル4人掛×6卓,35.913658,140.185791
東池袋大勝軒 うさぎ家,〒300-0854 茨城県つくば市上横場2200-1,11:00～24:00（L.O.23:30）,無休,60席,36.038704,140.085220
麺屋 cross × cross,〒314-0148 茨城県神栖市深芝2681,11:30〜13:45（L.O.）,当面の間、週末の土・日だけの営業（2024年9月13日インスタにて）,カウンター：10席、お座敷：6卓,35.916950,140.646103
常陸味噌ラーメン武藤,〒311-0110 茨城県那珂市竹ノ内2丁目2-3,11:15～14:30／17:30〜21:00[土・日・祝] 11:15～14:45／17:00～21:00,,カウンタ7席、4人ボックス席x3、2人テーブルx2、4人テーブルx2,36.449448,140.499344
鬼屋 つくば本店,〒305-0005 茨城県つくば市天久保1-8-6,11:00～24:00（L.O.23:30）,日曜日,テーブル席、カウンター席,36.092186,140.108841
ラーメンきずな,〒700-0815 岡山県岡山市北区野田屋町1-2-16,11:30～14:15／18:00～23:30【日曜】11:30～14:15／18:00～22:00,水曜、第4火曜,,34.666222,133.923218
加藤商店,〒700-0907 岡山県岡山市北区下石井2-9-72,11:00～20:00,,,34.659092,133.918457
麺ノ虎次郎Z,〒710-0813 岡山県倉敷市寿町1-5,11:00～21:20（L.O.21:00）,不定休,,34.603302,133.767365
