店名,住所,営業時間,定休日,座席,緯度,経度
ブタギドラ,〒501-6256 岐阜県羽島市福寿町千代田3-20  岐阜羽島ガーデンモール内,11:00〜15:00／17:30〜23:00※ラストオーダーは各30分前,火曜,,35.318897,136.683823
ぶた金ラーメン,岐阜県多治見市宝町8-1-1 サンあがた1F,[平日] 11:30～15:00／17:00～22:00[土・日・祝] 11:30～22:00（通し営業）ラストオーダー各15分前,火曜日,カウンター5席 テーブル3卓☓4席,35.344204,137.108948
ラーメン ガジロー 各務原店,〒504-0945 岐阜県各務原市那加日新町3-33,11:30～14:30／17:30～24:00[日・祝] 11:30〜15:00／17:30〜23:00※ラストオーダーは各30分前※売り切れ次第終了,無休,18席,35.395779,136.824036
麺闘志,〒502-0929 岐阜県岐阜市則武3-19-11,11:30～24:00（L.O.23:45）※15:00〜18:00に仕込みのため中休みの場合あり※売り切れ次第終了,無休,33席,35.449451,136.735580
アヒル家,〒509-5192 岐阜県土岐市土岐津町土岐口1-1 TAMAYAプラザ1F,11:00～14:00／17:30～22:00,無休,カウンター6席、テーブル8卓,35.335007,137.182831
麺屋 絆,〒502-0836 岐阜県岐阜市若竹町1-5-1 長良橋ハイツ,11:00～14:00／17:30～20:30,水曜日,4人卓×3、カウンター10席,35.442543,136.772278
時をかけろ,〒501-6001 岐阜県羽島郡岐南町上印食8-123-1,11:30〜14:00／18:00〜21:00,火曜日、水曜日,,35.388779,136.788635
ラーメン ガジロー 岐阜支店,岐阜県本巣郡北方町高屋伊勢田2-47,11:00〜14:00／17:30〜23:00[日] 11:00〜21:00,火曜,カウンター8席、テーブル席4名まで,35.412865,136.692398
継承 あっ晴れ 関店,〒501-3247 岐阜県関市池田町85,11:00〜14:30／17:30〜21:00,不定休,20席,35.496159,136.899185
orion,〒508-0001 岐阜県中津川市中津川2984-3,11:00～14:00（～15:00）／17:30～21:00[土・日・祝] 11:00～15:00／17:30～22:00,月曜※祝日の場合は営業、翌日休,,35.485199,137.504547
あっ晴れ 可児店,〒509-0201 岐阜県可児市川合字上巾2620-2,11:30～15:00／17:30～23:30,火曜,16席,35.439648,137.061264
ラーメン つづき 岐阜芥見店,〒501-3112 岐阜県岐阜市芥見東山3-13,11:30～15:00／17:00～22:00※ラストオーダーは各30分前,水曜日,,35.459846,136.852127
男は黙って前を行け！,〒500-8287 岐阜県岐阜市北鶉1丁目60-1,11:00〜14:00／18:30〜21:00※売り切れ次第終了,日・祝日,カウンター5席、テーブル14席,35.387978,136.730240
マシマシスタンド 美濃加茂店,〒505-0036 岐阜県美濃加茂市山手町2-2-1  僕のAパン,11:00〜15:00／18:00〜22:00※ラストオーダーは各30分前,木曜日,,35.452343,137.016525
横浜家系ラーメン ひじり家,〒880-0936 宮崎県宮崎市天満2-5-13  ドリームビルA棟103,11:00～15:00、18:00～22:00（月曜は午前のみ）,火曜日,,31.897463,131.414169
噛まずに啜れ,〒889-1607 宮崎県宮崎市清武町加納甲2732-1,,,,31.866028,131.390442
ラーメン二郎 仙台店2,〒980-0822 宮城県仙台市青葉区一番町2丁目5-32 第一観光ビル一階,平日 11:00～14:30／17:00～21:00土・日・祝 11:00～21:00,,カウンター12席、テーブル8席,38.259483,140.872208
魔界ラーメン月光,〒981-0952 宮城県仙台市青葉区中山8-22-18,11:00～14:30／17:30～20:00※売り切れ次第終了,水曜,カウンター11席、テーブル10席,38.298637,140.832764
麺屋小十郎,〒989-2459 宮城県岩沼市たけくま1-5-3,11:00～14:30／17:30〜20:00[日・祝] 10:30〜15:00,月曜、他不定休,22席（カウンター12席、座敷10席）,38.107037,140.857590
豚山 仙台駅前店,〒980-0021 宮城県仙台市青葉区中央1-7-18,,,,38.262047,140.878860
仙臺 くろく 定禅寺,〒980-0803 宮城県仙台市青葉区国分町3-3-3,月～土 11:00～14:00／17:30～21:30日・祝 7:30～21:30※各ラストオーダー,,13席（カウンター9席、テーブル4席）,38.265820,140.868500
麺屋 奏,〒989-6163 宮城県大崎市古川台町11-1,11:30～19:00,水曜,カウンター14席,38.574917,140.960236
麺屋ダダダ,〒983-0034 宮城県仙台市宮城野区扇町3丁目5-1 オレンジホール箱堤 1F,日～木 11:00～15:30／17:30～22:00金・土 11:00～15:30／17:30～24:00,火曜,カウンター20席,38.261375,140.938477
ラーメン☆ビリー,〒983-0833 宮城県仙台市宮城野区東仙台4-6-31,11:00～15:00／17:00～21:00[土・日・祝] 11:00～21:00,無休,カウンター8席、テーブル16席,38.275017,140.908463
ラーメン☆ビリープラス,〒980-0021 宮城県仙台市青葉区中央2-6-34,11:00～翌2:00※各ラストオーダー※売り切れ次第終了,無休,カウンター12席,38.262131,140.878357
ラーメンビリー 多賀城店,宮城県多賀城市町前1-4-3,11:00～15:00／17:00～22:00,不定休,43席,38.284710,140.999634
成りと,〒981-1104 宮城県仙台市太白区中田3-8-27,11:00〜14:45／18:00〜20:00※各ラストオーダー※売り切れ次第終了,日曜,9席,38.199093,140.885529
自家製麺 キリンジ,宮城県仙台市青葉区二日町15-15  第2石原ビル1F,11:00〜14:00／17:00〜19:30（麺が無くなり次第終了）[日・祝] 11:00〜14:00,不定休,カウンター5席、テーブル4席,38.270939,140.865952
げんちゃんらーめん,宮城県仙台市若林区荒町135  松屋ビル 1F,11:00～14:30／17:00～21:30（L.O.21:00）,水曜日,14席(カウンター9席、テーブル5席）,38.249367,140.883301
麺屋どん,〒987-0601 宮城県登米市中田町石森字加賀野3-6-1,11:00〜15:00／17:00〜19:00（材料なくなり次第終了）,水曜日,16席,38.696835,141.211014
ラーメン☆ビリー 泉学院前店,〒981-3105 宮城県仙台市泉区天神沢1-4-15,11:00～22:00（L.O.21:30）,不定休（年末年始等）,,38.326283,140.895844
自家製極太麺 ラーメンジャパン,〒981-0967 宮城県仙台市青葉区山手町26-1,火～土 11:30～14:00（Lo）／17:30～21:00（Lo20:30）日 11:30～15:00（Lo14:30）,月曜日、ほか不定休,9席（カウンターのみ）,38.287441,140.850723
noodle shop yatsuboshi,〒989-1604 宮城県柴田郡柴田町船岡東3-1-22,11:00〜15:00／17:30〜20:00,月曜日,カウンター7席、テーブル4人掛2席,38.054173,140.771866
ヤマロク 上杉直営本店,〒980-0011 宮城県仙台市青葉区上杉5丁目1-1,9:00〜13:00,無休,,38.274269,140.878922
ラーメンビリー 南仙台店,〒981-1104 宮城県仙台市太白区中田5-17-2,,,,38.195789,140.890686
らーめん浜八道 本店,宮城県東松島市矢本字大溜124-5,11:00〜15:00／17:00〜21:00※ラストオーダーは各30分前,木曜,13席（カウンター、テーブル）,38.426254,141.211884
ラーメン荘ヤマロク 五橋連坊店,〒984-0053 宮城県仙台市若林区連坊小路81,10:00〜13:00,月曜、木曜,,38.251450,140.889099
中華そば 卍,宮城県仙台市青葉区五橋2-5-11,11:30〜13:30／18:00〜20:00[土・祝] 11:30〜13:30,日曜日,カウンター6席,38.252476,140.877380
麺屋小十郎 名取店,〒981-1217 宮城県名取市美田園6-1-1,平日 11:00〜14:30／17:30～20:00土・日・祝 10:30〜15:00／17:30～20:00※各ラストオーダー,水曜,25席（カウンター9席、テーブル16席）,38.159130,140.913177
優勝軒 大野田店,宮城県仙台市太白区大野田字王ノ檀49-1,11:00〜24:00,無休,32席（カウンター10席、テーブル22席）,38.214161,140.876923
らぁめんソメイヨシ乃,〒989-1606 宮城県柴田郡柴田町船岡清住町13-1,7:00～10:00（月・木～日）／11:00～14:30／17:00～20:00,火曜,26席（カウンター8席、テーブル6席、座敷12席）,38.048069,140.748810
豪ーめん 古川店,〒989-6203 宮城県大崎市古川飯川大隈129-1,11:00～15:00,月曜,32席,38.572075,140.914856
ラーメン鬼山 小松島店,〒981-0905 宮城県仙台市青葉区小松島3丁目1-38 プリンスコート小松島,11:30〜14:30／17:00〜20:45,水曜日,,38.282040,140.887543
仙臺油そば はてなプラス  一番町店,〒980-0811 宮城県仙台市青葉区一番町4-5-17,11:00～24:00,,カウンター11席,38.264221,140.870911
RAMEN WORKS LINGKAI,〒986-2261 宮城県牡鹿郡女川町女川浜字大原1-4 シーパルピア女川,11:30〜13:30／18:00〜21:00[土・日・祝] 11:00〜14:00,火曜日,,38.451088,141.439194
二代目 浜八道,〒986-0864 宮城県石巻市新境町1-2-3,11:00～14:30／18:00～20:30※各ラストオーダー,,,38.445450,141.288315
ラーメン☆ビリー 楽天生命パーク宮城店,〒983-0045 宮城県仙台市宮城野区宮城野2-11-6  楽天生命パーク宮城 2F,試合開催中のみ,,,38.258293,140.902039
豚山 仙台八本松店,〒982-0001 宮城県仙台市太白区八本松1-13-2,,,15席,38.226955,140.895706
油そば専門店 はてな 五橋店,〒980-0022 宮城県仙台市青葉区五橋2-10-20  第二菊水ビル 1F,11:00〜15:00／17:00〜21:00※ラストオーダーは各15分前,不定休,6席,38.249603,140.880432
ラーメン二郎 京都店,〒606-8117 京都府京都市左京区一乗寺里ノ前町4番,11:00〜14:00／18:00〜21:30[土] 11:00〜14:30／17:30〜21:30[日] 11:00〜14:30／17:30〜20:30営業日は公式Xにてポストあり,水曜臨時休業は公式Xにてポスト,カウンター14席,35.043465,135.787445
ラーメン荘 夢を語れ,〒606-8112 京都府京都市左京区一乗寺西杉ノ宮町48-1,11:30～14:30／18:00～23:00[日] 12:00～19:00,月曜日,カウンター 11席,35.045879,135.785446
ラーメン 池田屋 京都店,〒606-8106 京都府京都市左京区高野玉岡町33-9,11:30～14:00／18:00～24:00,無休（ただし臨時休業の場合twitterで告知）,カウンター 9席,35.045246,135.784607
ラーメン荘 地球規模で考えろ 伏見本店,〒612-0085 京都府京都市伏見区撞木町1153-9,11:00～15:00／18:00～24:00 [日] 11:00〜21:45,月曜日,カウンター 11席,34.945484,135.765091
ラーメン荘 地球規模で考えろ ソラ,〒615-0035 京都府京都市右京区西院追分町3-11,[火～土] 11:00〜15:00、18:00～24:00[日] 11:00〜15:00、17:00～22:00,月曜,カウンター15席,34.998379,135.726044
極太清流らーめん,〒600-8864 京都府京都市下京区七条御所ノ内南町89  八条ビル 1F,【月・火・木・金】11:00～14:00／17:00～22:00【土・日】10:30～15:00※麺切れ終了,水曜、祝日,カウンターのみ,34.983891,135.732193
拉麺 夢,〒603-8242 京都府京都市北区紫野上野町121-2,11:00～14:00／18:00～21:00[日] 11:00～16:00,火曜日、水曜日,,35.046268,135.743759
夢は力なり,〒612-0024 京都府京都市伏見区深草野田町17-2,10:00〜14:00／17:00〜21:00[日] 10:00〜14:00,,,34.959633,135.768707
麺屋 豚の心,〒611-0042 京都府宇治市小倉町久保67-1,11:00～15:00／17:00～22:00,火曜,,34.896690,135.784088
太一商店 小山店,熊本県熊本市東区小山3-4-18,10:00〜23:00※麺がなくなり次第終了,無休,テーブル席4人×6、カウンター12席,32.826355,130.789490
太一商店 浜線バイパス店,〒862-0965 熊本県熊本市南区田迎町田井島249-1,10:00～22:00,無休,38席,32.767040,130.727005
めん屋 大仙,〒861-3203 熊本県上益城郡御船町高木2845-1,11:00～15:00[金・土・日] 11:00～15:00／18:00～21:00※売り切れ次第終了,月曜（祝日の場合翌日）、第1日曜日,4人テーブル（5人迄可能）×1、カウンター8席,32.738457,130.794571
ねじれ麺 豪傑,〒862-0975 熊本県熊本市中央区新屋敷3-7-7,11:30～14:30／17:00～20:30,日曜,,32.807323,130.724121
麺屋 とらい,〒860-0079 熊本県熊本市西区上熊本3-3-5,11:00〜15:00／18:00〜22:00,,カウンター6席,32.819168,130.700378
自家製ラーメン 大者,〒370-0042 群馬県高崎市貝沢町1282-1,11:00～19:30[日] 11:00〜18:00,水曜,カウンター10席,36.341232,139.026840
男気らーめん アカギ,〒376-0002 群馬県桐生市境野町2-613-14,11:00～14:3017:30～24:00,日曜／第1・3月曜日,,36.389236,139.351440
ラーメン二郎 前橋千代田町店,〒371-0022 群馬県前橋市千代田町4丁目12-3,10:30〜14:30／17:00〜20:00[水・木] 10:30〜14:30,月曜,カウンター10席，テーブル3席×2,36.392548,139.070999
ハイマウントM,〒371-0007 群馬県前橋市上泉町685-4,11:00〜14:00L.O.／18:00〜23:00（L.O.）,月曜,カウンター14席,36.399490,139.102325
らーめん つの旨,〒371-0047 群馬県前橋市関根町2丁目23-2,11:00～14:00,火曜,カウンター7席、座敷8席,36.433868,139.047440
ラーメン 滋悟郎,〒370-0303 群馬県太田市新田小金井町1841-3,10:00〜14:30／17:30〜20:30[水・木] 10:00〜14:30[日] 10:00〜15:00※売り切れ次第終了,月曜日,カウンター5、テーブル2、座敷あり,36.326614,139.323151
ニンニクらーめん 碧の豚二郎,〒372-0022 群馬県伊勢崎市日乃出町503-5,11:00～15:00／18:00～22:00,金曜,,36.316788,139.226410
麺屋 承太郎,〒370-0044 群馬県高崎市岩押町7-13,11:15～22:00[金・土・祝] 11:15～24:00※ラストオーダーは各30分前,無休,カウンター12席、テーブル2卓、小上がり2卓,36.321503,139.020203
ラーメン赤沼,〒370-0046 群馬県高崎市江木町624-33,11:00〜24:00（L.O.23:45）,無し※臨時休業の場合はTwitterにて告知,8人掛けテーブル×2の16席(2名づつ仕切りあり),36.334164,139.016953
中華蕎麦 つけ麺 五味五香,〒371-0852 群馬県前橋市総社町総社2014-5,11:00〜14:30,日曜、祝日,カウンター11席,36.405293,139.031876
平田の哲二郎,〒379-2154 群馬県前橋市天川大島町1-13-14,11:00～14:00／18:00～21:00,火曜日,カウンター8席、テーブル3卓、お座敷2卓,36.381981,139.096283
ラーメン金剛,〒370-0535 群馬県邑楽郡大泉町寄木戸1586-2,11:30〜15:0017:30〜22:00（Lo.各30分前）,水曜日,,36.258522,139.385635
ラーメン おと,〒374-0024 群馬県館林市本町2-9-20,11:30〜14:00／17:30〜20:30,木曜日,カウンター6席、座敷4席+6席,36.248131,139.533569
らーめん・つけめん 満帆 太田本店,〒373-0861 群馬県太田市南矢島町545-2,11:30～14:30／18:00～24:00[日] 11:30～14:30／18:00～22:30※14～18時はつけ麺のみ提供※各ラストオーダー※売り切れ次第終了,月曜（祝日の場合もお休みです）,約40席（カウンター12席・ボックス席4～6人×4・テーブル席4人x3卓）,36.258987,139.384308
それいけ！たかちゃんラーメン 群馬千代田店,〒370-0725 群馬県邑楽郡千代田町上中森1056,10:30〜14:30／17:30〜21:00[土・日・祝] 11:00〜21:00,火曜日,,36.194050,139.473038
らーめん・つけめん 虎心,〒376-0101 群馬県みどり市大間々町大間々371-1,11:30〜14:30／18:00〜20:30,火曜日、月曜日夜の部,14席（カウンター6席、テーブル4席×2卓）,36.416466,139.281555
高崎青春ブタ二郎,〒370-0045 群馬県高崎市東町7-7 内田ビル1F,11:00～22:00,無休,,36.324306,139.013870
中華そば・特製もりそば 満帆 伊勢崎店,〒372-0803 群馬県伊勢崎市宮古町142-2,11:00～22:00（L.O.21:45）,無休,43席（カウンター7席、テーブル8席、座席28席）,36.322651,139.154266
立川マシマシ 太田店,〒370-0303 群馬県太田市新田小金井201-3,11:00〜15:00／18:00〜20:00（L.O.21:30）[金・土・日] 11:00～22:00（L.O.21:30）,無休,15席（カウンター15席）,36.312920,139.323563
Noodle Bar Orega,〒378-0044 群馬県沼田市下之町871-8,11:00～14:00／17:00～22:00※ラストオーダーは各30分前,日曜日、祝日,,36.645027,139.043793
豚さんち 前橋店,群馬県前橋市上小出町1-31-3,ランチ  土・日・祝日   11:00～14:00ディナー 平日・日曜    18:00～翌1:00     金・土・祝前日  18:00～翌2:00,無休,85席（カウンター5席、テーブル20席、夜のみ座敷60席）,36.412632,139.058777
ジャンクガレッジ 太田店,〒373-0823 群馬県太田市西矢島町584-3,11:00〜23:00（L.O.23:00）,無休,,36.274242,139.376389
拉麺うずまき,〒371-0037 群馬県前橋市上小出町1-31-2ジュネシオン小出10,11:00〜15:00,不定休,,36.412632,139.058777
宮二郎,〒366-0042 埼玉県深谷市東方町1-19-2,11:30〜14:30／17:30〜21:30,木曜日,,36.188095,139.310608
